Date,Daily Sales
1/1/19,0.626452121
1/2/19,1.301068783
1/3/19,1.751689015
1/4/19,3.256293854
1/5/19,3.73292048
1/6/19,3.423140777
1/7/19,2.09749607
1/8/19,1.763286671
1/9/19,0.867067436
1/10/19,0.438119358
1/11/19,-0.805843346
1/12/19,-1.026136943
1/13/19,-0.940705347
1/14/19,0.066905871
1/15/19,0.648093309
1/16/19,1.330543949
1/17/19,1.012085933
1/18/19,-0.041688456
1/19/19,-0.453294366
1/20/19,-0.296163933
1/21/19,-0.047902596
1/22/19,0.418082507
1/23/19,0.217900826
1/24/19,0.230170983
1/25/19,0.62622154
1/26/19,1.04139045
1/27/19,1.638901872
1/28/19,2.405618515
1/29/19,3.175909922
1/30/19,2.489003629
1/31/19,1.410877313
2/1/19,0.389442203
2/2/19,-0.646856264
2/3/19,-1.663949592
2/4/19,-2.248445652
2/5/19,-1.215590545
2/6/19,0.863030655
2/7/19,1.923903837
2/8/19,2.84505914
2/9/19,3.159618157
2/10/19,4.759419193
2/11/19,5.307535023
2/12/19,4.679647749
2/13/19,4.608003148
2/14/19,3.719790407
2/15/19,2.660397503
2/16/19,1.59637808
2/17/19,1.307072419
2/18/19,1.841418159
2/19/19,1.928576387
2/20/19,2.180384736
2/21/19,1.896224805
2/22/19,1.439325086
2/23/19,1.227005747
2/24/19,1.615327494
2/25/19,1.563599879
2/26/19,1.063775729
2/27/19,0.945118739
2/28/19,1.82019021
3/1/19,2.150055516
3/2/19,2.696468443
3/3/19,2.91578614
3/4/19,2.084411639
3/5/19,2.026888595
3/6/19,2.709134579
3/7/19,3.625821689
3/8/19,4.268055267
3/9/19,3.492204509
3/10/19,1.998722306
3/11/19,1.67343413
3/12/19,2.106730987
3/13/19,1.85561439
3/14/19,1.07888441
3/15/19,1.399902647
3/16/19,1.758993151
3/17/19,1.423040834
3/18/19,1.426134926
3/19/19,2.499073574
3/20/19,3.831434056
3/21/19,4.162154461
3/22/19,3.888628899
3/23/19,4.037403016
3/24/19,4.691236509
3/25/19,4.672729732
